year,province,batch,category,first_subject,second_subject_requirement,university_code,university_name,major_group_code,major_group_name,admission_category,min_score,min_rank,plan_seats,source_id,source_url,confidence_score,parser_version
2024,湖北,本科普通批,普通类,physics,化学,HBA001,湖北样例001大学,HBA001-P01,物理01组-物理+化学专业组,平行志愿,655,10030,57,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA002,湖北样例002大学,HBA002-P02,物理02组-物理+化学专业组,平行志愿,653,11040,61,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA003,湖北样例003大学,HBA003-P03,物理03组-物理+化学专业组,平行志愿,651,12050,65,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA004,湖北样例004大学,HBA004-P04,物理04组-物理+不限专业组,平行志愿,648,13060,69,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA005,湖北样例005大学,HBA005-P05,物理05组-物理+化学专业组,平行志愿,646,14770,73,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA006,湖北样例006大学,HBA006-P06,物理06组-物理+化学专业组,平行志愿,644,15780,77,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA007,湖北样例007大学,HBA007-P07,物理07组-物理+化学专业组,平行志愿,642,16790,81,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA008,湖北样例008大学,HBA008-P08,物理08组-物理+化学专业组,平行志愿,639,17800,53,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA009,湖北样例009大学,HBA009-P09,物理09组-物理+不限专业组,平行志愿,637,18810,57,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA010,湖北样例010大学,HBA010-P10,物理10组-物理+化学专业组,平行志愿,635,20520,61,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA011,湖北样例011大学,HBA011-P11,物理11组-物理+化学专业组,平行志愿,633,21530,65,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA012,湖北样例012大学,HBA012-P12,物理12组-物理+化学专业组,平行志愿,631,22540,69,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA013,湖北样例013大学,HBA013-P13,物理13组-物理+化学专业组,平行志愿,628,23550,73,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA014,湖北样例014大学,HBA014-P14,物理14组-物理+不限专业组,平行志愿,626,24560,77,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA015,湖北样例015大学,HBA015-P15,物理15组-物理+化学专业组,平行志愿,624,26270,81,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA016,湖北样例016大学,HBA016-P16,物理16组-物理+化学专业组,平行志愿,622,27280,53,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA017,湖北样例017大学,HBA017-P17,物理17组-物理+化学专业组,平行志愿,620,28290,57,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA018,湖北样例018大学,HBA018-P18,物理18组-物理+化学专业组,平行志愿,617,29300,61,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA019,湖北样例019大学,HBA019-P19,物理19组-物理+不限专业组,平行志愿,615,30310,65,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA020,湖北样例020大学,HBA020-P20,物理20组-物理+化学专业组,平行志愿,613,32020,69,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA021,湖北样例021大学,HBA021-P21,物理21组-物理+化学专业组,平行志愿,611,33030,73,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA022,湖北样例022大学,HBA022-P22,物理22组-物理+化学专业组,平行志愿,609,34040,77,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA023,湖北样例023大学,HBA023-P23,物理23组-物理+化学专业组,平行志愿,606,35050,81,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA024,湖北样例024大学,HBA024-P24,物理24组-物理+不限专业组,平行志愿,604,36060,53,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA025,湖北样例025大学,HBA025-P25,物理25组-物理+化学专业组,平行志愿,602,37770,57,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA026,湖北样例026大学,HBA026-P26,物理26组-物理+化学专业组,平行志愿,600,38780,61,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA027,湖北样例027大学,HBA027-P27,物理27组-物理+化学专业组,平行志愿,597,39790,65,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA028,湖北样例028大学,HBA028-P28,物理28组-物理+化学专业组,平行志愿,595,40800,69,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA029,湖北样例029大学,HBA029-P29,物理29组-物理+不限专业组,平行志愿,593,41810,73,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA030,湖北样例030大学,HBA030-P30,物理30组-物理+化学专业组,平行志愿,591,43520,77,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA031,湖北样例031大学,HBA031-P31,物理31组-物理+化学专业组,平行志愿,589,44530,81,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA032,湖北样例032大学,HBA032-P32,物理32组-物理+化学专业组,平行志愿,586,45540,53,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA033,湖北样例033大学,HBA033-P33,物理33组-物理+化学专业组,平行志愿,584,46550,57,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,不限,HBA034,湖北样例034大学,HBA034-P34,物理34组-物理+不限专业组,平行志愿,582,47560,61,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
2024,湖北,本科普通批,普通类,physics,化学,HBA035,湖北样例035大学,HBA035-P35,物理35组-物理+化学专业组,平行志愿,580,49270,65,fixture-lines-2024,https://www.hbksw.com/info/38/1771.html,0.95,fixture-v1
