year,province,category,first_subject,score,same_score_count,cumulative_rank,rank_start,rank_end,source_id,source_url,source_type,raw_document_sha256,parser_name,parser_version,parse_confidence,confidence_score,license_note,review_status,reviewer
2023,湖北,普通类,physics,695,313,2800,1,2800,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,670,326,5600,2801,5600,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,645,339,8400,5601,8400,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,620,352,11200,8401,11200,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,595,365,14000,11201,14000,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,570,378,16800,14001,16800,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,545,391,19600,16801,19600,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,520,404,22400,19601,22400,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,495,417,25200,22401,25200,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
2023,湖北,普通类,physics,470,430,28000,25201,28000,fixture-rank-2023,https://www.hbksw.com/info/38/1746.html,fixture_seed,527f08daea0faf481d2436da3fa690e622e6b188e0ac274fe296145897fed1db,static_csv_seed,curated-fixture-seed-v0.2,0.95,0.95,fixture seed mirrors public Hubei admissions schema; replace with reviewed official rows before production,approved,system_seed
